,module,dim,budget,acc,f1
0,mutation_base,5,250,0.8106473079249849,0.8095492210298649
1,mutation_base,5,500,0.847156684815487,0.8445258224270136
2,mutation_base,5,1500,0.8921355111917725,0.8898357326102755
3,mutation_base,5,2500,0.8888082274652147,0.8868139460897485
4,mutation_base,5,5000,0.9183303085299455,0.9168907179681645
5,mutation_base,5,7500,0.9114035087719298,0.9113824931382755
6,mutation_base,30,1500,0.9096793708408952,0.9088741670024328
7,mutation_base,30,3000,0.930550514216576,0.929172678469903
8,mutation_base,30,9000,0.9426194797338173,0.9399721068422855
9,mutation_base,30,15000,0.9322141560798549,0.9303469102009239
10,mutation_base,30,30000,0.9130973986690865,0.9109259107907258
11,mutation_base,30,45000,0.8975196612220205,0.8931251851884976
12,mutation_reference,5,250,0.3317301875378101,0.30844564523729867
13,mutation_reference,5,500,0.41491228070175434,0.4051695718080902
14,mutation_reference,5,1500,0.43750756200846946,0.42444749367073
15,mutation_reference,5,2500,0.45677555958862665,0.44590382557166536
16,mutation_reference,5,5000,0.45837870538415004,0.4442207108511629
17,mutation_reference,5,7500,0.47764670296430733,0.45244581861664024
18,mutation_reference,30,1500,0.4166666666666667,0.40863866857626546
19,mutation_reference,30,3000,0.47220205686630373,0.4682002431614868
20,mutation_reference,30,9000,0.44627949183303084,0.44033388109978067
21,mutation_reference,30,15000,0.4338475499092559,0.41636495188405975
22,mutation_reference,30,30000,0.47746521476104054,0.4563358941183659
23,mutation_reference,30,45000,0.493103448275862,0.4641390814509867
24,mutation_n_comps,5,250,0.7046581972171809,0.701384341313884
25,mutation_n_comps,5,500,0.7532970356926799,0.7509370932674837
26,mutation_n_comps,5,1500,0.7967332123411979,0.7952597665556992
27,mutation_n_comps,5,2500,0.8122807017543859,0.8108206175839163
28,mutation_n_comps,5,5000,0.8054748941318813,0.803655653790184
29,mutation_n_comps,5,7500,0.8054446460980035,0.8041650396047457
30,mutation_n_comps,30,1500,0.8037205081669692,0.8022490118323777
31,mutation_n_comps,30,3000,0.8385359951603146,0.8368529200341159
32,mutation_n_comps,30,9000,0.8419842710223836,0.8401321442082056
33,mutation_n_comps,30,15000,0.8071082879612825,0.8049672200875101
34,mutation_n_comps,30,30000,0.793254688445251,0.7919251797943601
35,mutation_n_comps,30,45000,0.7861161524500908,0.7851279346080522
36,use_archive,5,250,0.7603145795523291,0.756318722416309
37,use_archive,5,500,0.7604053236539625,0.7566973016063265
38,use_archive,5,1500,0.8368118572292801,0.8322753615856755
39,use_archive,5,2500,0.874833635813672,0.8716783832499345
40,use_archive,5,5000,0.9236237144585602,0.9221961097734109
41,use_archive,5,7500,0.949546279491833,0.9484699638309095
42,use_archive,30,1500,0.7742891712038718,0.7699060895931482
43,use_archive,30,3000,0.7622202056866303,0.7585703639961693
44,use_archive,30,9000,0.758681185722928,0.7548496717712665
45,use_archive,30,15000,0.7499697519661221,0.7455339711893673
46,use_archive,30,30000,0.6803992740471869,0.675497545485943
47,use_archive,30,45000,0.7168784029038112,0.7142787806624522
48,crossover,5,250,0.788173018753781,0.7840925156650386
49,crossover,5,500,0.8229582577132486,0.8178867776419929
50,crossover,5,1500,0.8924682395644282,0.8899767911772782
51,crossover,5,2500,0.9097096188747731,0.9065955637436156
52,crossover,5,5000,0.9340592861464005,0.9321869294482287
53,crossover,5,7500,0.9253478523895946,0.9224828283831377
54,crossover,30,1500,1.0,1.0
55,crossover,30,3000,1.0,1.0
56,crossover,30,9000,1.0,1.0
57,crossover,30,15000,0.9964912280701753,0.996390208257216
58,crossover,30,30000,0.9912885662431942,0.9907662464771377
59,crossover,30,45000,0.9895341802782818,0.989132534943642
60,adaptation_method,5,250,0.3420447670901391,0.3194722572397772
61,adaptation_method,5,500,0.4424077434966726,0.42572400168668
62,adaptation_method,5,1500,0.6025408348457351,0.5942781335048104
63,adaptation_method,5,2500,0.6509679370840894,0.6445377039332721
64,adaptation_method,5,5000,0.7101633393829402,0.7068765412970801
65,adaptation_method,5,7500,0.7970054446460979,0.7908920493052276
66,adaptation_method,30,1500,0.5970659407138537,0.5818884757547031
67,adaptation_method,30,3000,0.6908045977011493,0.6793870883269006
68,adaptation_method,30,9000,0.8072595281306715,0.8022862556721477
69,adaptation_method,30,15000,0.8679673321234119,0.8673219944563068
70,adaptation_method,30,30000,0.9304295220810648,0.9299714114995803
71,adaptation_method,30,45000,0.9494252873563218,0.9491301142682531
72,lpsr,5,250,1.0,1.0
73,lpsr,5,500,0.9982758620689655,0.9982503770739065
74,lpsr,5,1500,1.0,1.0
75,lpsr,5,2500,1.0,1.0
76,lpsr,5,5000,0.9965517241379309,0.9965352449223417
77,lpsr,5,7500,0.9982758620689655,0.9982712369597616
78,lpsr,30,1500,1.0,1.0
79,lpsr,30,3000,1.0,1.0
80,lpsr,30,9000,0.9947973381730189,0.9947835179926241
81,lpsr,30,15000,0.9912583182093163,0.9912284347404201
82,lpsr,30,30000,0.9844222625529341,0.9843051220168457
83,lpsr,30,45000,0.9687537810042347,0.9685476077191219
